group,n_columns,mdi_mean,mdi_std_trees,mdi_pct
Particulate indicators,213,0.4145795415214193,0.07715566399730248,41.45795415214194
Lagged / rolling PM2.5,70,0.2575819900971014,0.08031872170251053,25.75819900971015
Meteorological conditions,142,0.1642649942873527,0.02589809242107237,16.426499428735273
Combustion proxy (CO2),71,0.09065782659705003,0.015698873114080178,9.065782659705006
Temporal / Fourier,16,0.050544212124982016,0.027242040251211273,5.054421212498203
Other environmental variables,1,0.02063247522925077,0.039928545103410845,2.0632475229250775
Spatial (site),7,0.0017389601428437348,0.0037485708241086595,0.1738960142843735
