Location Name,mean,std,p25,median,p75,p90,p95,max,n,iqr,skewness
"Divine healer's Church, Bethlehem",35.15069506063295,20.479226817085273,22.4,33.4,44.4,57.4,69.3,227.1,3381,22.0,1.786121253758078
Kpone Methodists School,20.790319689273975,21.284518297920606,2.75,18.7,30.6,43.2,52.6,307.2,3347,27.85,3.2142107582010433
"Satet International School, Tema Manhean",34.76274392074452,26.27272033478754,18.9,29.0,43.0,63.2,83.35,285.4,3331,24.1,2.5692874311737257
Tema Community 25 Estate,19.11869349664625,12.39023559431041,10.8,16.1,25.6,35.6,41.75999999999999,157.4,3429,14.8,1.6758508441737803
Tema Community 3 SSNIT Flat,24.806466965285555,20.987511459154415,8.1,21.8,35.925,48.0,57.9,250.4,3572,27.824999999999996,2.4092159679319995
"Tema Community 7, Royal School",28.38641319541515,19.779088111760863,14.3,26.7,38.3,49.3,58.039999999999964,291.3,3577,23.999999999999996,2.5316419613161356
Tema Port,25.77499213589179,16.703870304740295,12.7,23.6,36.0,46.4,54.0,167.2,3179,23.3,1.1371945549667135
