group,n_columns,delta_mae_mean,delta_mae_std,delta_mae_q05,delta_mae_q95,baseline_val_mae,share_of_positive_delta_pct
Lagged / rolling PM2.5,70,0.7440641170935116,0.11703887370229012,0.5990234579793299,0.9072305153365259,9.842344378390665,66.64346461399492
Meteorological conditions,142,0.2472201328445891,0.0541918437545669,0.16647928652749586,0.31319367088953526,9.842344378390665,22.142723720441012
Combustion proxy (CO2),71,0.0960070501062118,0.05039783834161864,0.053361266847506174,0.17199477635139523,9.842344378390665,8.599047178138887
Spatial (site),7,0.017367880390776413,0.0023601507300018967,0.01422759637568145,0.0201118021137761,9.842344378390665,1.5555859981047022
Temporal / Fourier,16,0.007093850504597876,0.0056264953168295075,0.0006733740222262697,0.015320811486242912,9.842344378390665,0.6353737053291119
Other environmental variables,1,0.004731715769085598,0.010372755863278103,-0.007876297649495888,0.018259238512525665,9.842344378390665,0.42380478399136023
Particulate indicators,213,-0.19156514854330586,0.08653482656956937,-0.3006171073151978,-0.07694666127864541,9.842344378390665,0.0
