Location Name,hour,median_pm25
"Tema Community 7, Royal School",15,18.8
"Tema Community 7, Royal School",16,16.4
"Tema Community 7, Royal School",17,19.5
"Tema Community 7, Royal School",18,23.1
"Tema Community 7, Royal School",19,22.4
"Tema Community 7, Royal School",20,23.15
"Tema Community 7, Royal School",21,23.5
"Tema Community 7, Royal School",22,24.65
"Tema Community 7, Royal School",23,25.75
Tema Port,0,21.75
Tema Port,1,21.4
Tema Port,2,25.7
Tema Port,3,33.1
Tema Port,4,35.7
Tema Port,5,41.3
Tema Port,6,44.6
Tema Port,7,40.25
Tema Port,8,33.3
Tema Port,9,28.9
Tema Port,10,25.6
Tema Port,11,19.3
Tema Port,12,16.7
Tema Port,13,16.6
Tema Port,14,17.1
Tema Port,15,13.7
Tema Port,16,17.9
Tema Port,17,20.6
Tema Port,18,19.6
Tema Port,19,17.75
Tema Port,20,17.4
Tema Port,21,17.9
Tema Port,22,19.35
Tema Port,23,18.4
