horizon,mae,mse,rmse,r2,model,mae_top_decile,mse_top_decile,rmse_top_decile
h168,14.587057475779,460.46023434286707,21.458337175626333,-0.09441394719086804,seasonal_naive_24h,,,
h168,14.659898414271558,473.1286202304262,21.751519952187852,-0.12520676008934162,naive_level,,,
h168,15.385008703900121,517.0206134328539,22.738087286156105,-0.22639072123997028,seasonal_naive_168h,,,
h168,16.909146219182883,611.5087826263134,24.728703617988415,-0.5841265302462635,seasonal_naive_672h,,,
h168,17.48754648384197,620.2826321945093,24.90547394037121,-0.4252652396610548,seasonal_naive_336h,,,
h168,19.075284066800435,589.794144215986,24.28567775904115,-0.40297210955513285,rf,22.925072242510794,1224.3522809901617,34.990745647816105
h168,37.20903906087681,1692.817080612624,41.14385835835798,-3.026786589811114,linear_svr,69.48284806175523,5638.959720040302,75.09300713142538
h168,43.462794321280825,2594.076026048028,50.932072665934456,-5.170655219795167,xgboost,28.8063063475886,1310.419925234342,36.19972272316933
h168,63.27655293341792,4353.305014848877,65.9795802870015,-9.355419056149264,ridge,92.97191163880149,9500.599542626858,97.47101898834781
h168,98.13785835016913,9946.551667623957,99.73240029009608,-22.660347788762046,ridge_ar_lag_fourier,129.4278180415331,17591.135883939343,132.63157951234444
h24,11.960368602918498,332.0256344066256,18.22157058012908,0.21019442241315645,ridge_ar_lag_fourier,35.65078534355657,2093.591917280088,45.755785615374236
h24,13.333089692765114,504.41561044350846,22.459198793445605,-0.19958289168588883,naive_level,,,
h24,13.758238354806739,481.1943728320119,21.936143071014374,-0.1443579973772655,seasonal_naive_24h,,,
h24,14.0904386269871,359.86633573441367,18.970143271320165,0.14396838769173126,rf,27.040192697231873,1501.2539517212763,38.74601852734389
h24,14.587057475779,460.46023434286707,21.458337175626333,-0.09441394719086804,seasonal_naive_168h,,,
h24,15.666707949562099,549.0626112369849,23.432085080866894,-0.30113485834191644,seasonal_naive_336h,,,
h24,18.987970272049107,682.7374274614834,26.129244678357686,-0.5654273599553501,seasonal_naive_672h,,,
h24,20.104245723563356,684.8079085423184,26.168834680633342,-0.6289859869070127,linear_svr,51.92616514959673,3514.029496071006,59.27925013080889
h24,22.15789935291773,732.7861157067898,27.07002245486305,-0.7431140893616239,xgboost,22.899792833751057,1176.2569251219572,34.29660223873434
h24,25.242398977049415,929.2668839613691,30.48387908323626,-1.2104924799890378,ridge,54.509241959792696,3890.874403928145,62.37687395123408
h336,14.520343036718675,380.0349842687135,19.494485996525107,0.09599223930413292,linear_svr,26.529296760378568,1465.1894463667636,38.27779312299448
h336,15.385008703900121,517.0206134328539,22.738087286156105,-0.22639072123997028,naive_level,,,
h336,15.393863194030114,412.48261012471767,20.30966789794254,0.018807488414875118,ridge_ar_lag_fourier,25.70920433843205,1437.8778622210132,37.91935999223897
h336,15.666707949562099,549.0626112369849,23.432085080866894,-0.30113485834191644,seasonal_naive_24h,,,
h336,16.525136239782018,582.2911318739162,24.130709311454485,-0.385124327991339,seasonal_naive_672h,,,
h336,17.48754648384197,620.2826321945093,24.90547394037121,-0.4252652396610548,seasonal_naive_168h,,,
h336,18.880841578216437,652.4992333094943,25.544064541679624,-0.5348671069158981,seasonal_naive_336h,,,
h336,19.640732125892878,648.6978011280012,25.46954654343106,-0.5430891124260508,rf,24.15314997268648,1341.8774748083022,36.63164581080547
h336,24.876628193395813,1006.6419198369782,31.7276207717657,-1.3945482533023004,xgboost,20.43437323452804,1001.1484613007576,31.6409301585898
h336,50.00793884194779,2744.0012810468656,52.3832156424829,-5.5272897393883,ridge,29.284687838580705,1327.1441948882534,36.42999032237386
h672,15.48086208459596,441.8702398092366,21.020709783668977,-0.051098300270296715,ridge_ar_lag_fourier,32.72746598898103,1897.8420705392625,43.56422925450722
h672,15.617730389925738,457.2723779645108,21.38392802935211,-0.0877361178398306,rf,27.801906013382506,1512.4000358890503,38.88958775673831
h672,16.525136239782018,582.2911318739162,24.130709311454485,-0.385124327991339,seasonal_naive_336h,,,
h672,16.909146219182883,611.5087826263134,24.728703617988415,-0.5841265302462635,seasonal_naive_168h,,,
h672,17.9899863760218,633.6275945937577,25.17196048371596,-0.5072408767998993,seasonal_naive_672h,,,
h672,18.880841578216437,652.4992333094943,25.544064541679624,-0.5348671069158981,naive_level,,,
h672,18.987970272049107,682.7374274614834,26.129244678357686,-0.5654273599553501,seasonal_naive_24h,,,
h672,19.246938427161368,645.7168889241607,25.410960015791623,-0.5359982711146638,xgboost,26.664783094904106,1441.3266768487167,37.96480840000008
h672,23.47574674373092,799.737257478821,28.279626190577925,-0.902374037142037,linear_svr,26.496035904708553,1475.6715286491055,38.4144703028573
h672,24.28760727455417,891.9870809068364,29.86615276373635,-1.1218131934139843,ridge,24.83950224123895,1303.539470142518,36.10456300999249
