mae,mse,rmse,r2,keras_backend,file,model,horizon_hours,seq_len,tmax,val_start,test_start,n_train_split,n_val_split,n_test_split,mae_top_decile,rmse_top_decile,mae_pre_harmattan,rmse_pre_harmattan,r2_pre_harmattan,mae_harmattan,rmse_harmattan,r2_harmattan
13.036506652832031,353.3482971191406,18.797560935375117,0.20709973573684692,tensorflow,sequences_h168_L336.npz,lstm,168,336,2026-02-15 23:00:00,2026-01-04 23:00:00,2026-01-18 23:00:00,11250,1367,2782,33.9733772277832,44.37284738396824,,,,,,
23.8612117767334,924.0572509765625,30.3983100019814,-1.073549747467041,tensorflow,sequences_h168_L336.npz,lstm_mha,168,336,2026-02-15 23:00:00,2026-01-04 23:00:00,2026-01-18 23:00:00,11250,1367,2782,62.561073303222656,69.2279409812252,,,,,,
23.19179344177246,914.6409912109375,30.24303211007351,-1.3443856239318848,tensorflow,sequences_h24_L168.npz,lstm,24,168,2026-02-15 23:00:00,2026-01-04 23:00:00,2026-01-18 23:00:00,14379,1016,3807,53.3571662902832,63.32970174449644,,,,,,
19.12255859375,625.4575805664062,25.00914993690122,-0.603157639503479,tensorflow,sequences_h24_L168.npz,lstm_mha,24,168,2026-02-15 23:00:00,2026-01-04 23:00:00,2026-01-18 23:00:00,14379,1016,3807,48.11421203613281,56.228789403760956,,,,,,
14.314952850341797,458.43255615234375,21.41103818483223,-0.011292338371276855,tensorflow,sequences_h336_L672.npz,lstm,336,672,2026-02-15 23:00:00,2026-01-04 23:00:00,2026-01-18 23:00:00,7364,1827,1557,43.510929107666016,54.74095378676165,,,,,,
15.108851432800293,487.83428955078125,22.086971036128546,-0.07615196704864502,tensorflow,sequences_h336_L672.npz,lstm_mha,336,672,2026-02-15 23:00:00,2026-01-04 23:00:00,2026-01-18 23:00:00,7364,1827,1557,43.78268814086914,55.04118885619319,,,,,,
14.22772216796875,447.9526672363281,21.16489232753921,-0.181657075881958,tensorflow,sequences_h672_L1344.npz,lstm,672,1344,2026-02-15 23:00:00,2026-01-04 23:00:00,2026-01-18 23:00:00,1374,1285,2507,47.249473571777344,54.899035080175814,,,,,,
13.574110984802246,426.2456970214844,20.64571861237783,-0.12439608573913574,tensorflow,sequences_h672_L1344.npz,lstm_mha,672,1344,2026-02-15 23:00:00,2026-01-04 23:00:00,2026-01-18 23:00:00,1374,1285,2507,46.08460998535156,54.02135808091324,,,,,,
